"ticker","as_of_date","actual_return","conviction_score","reasoning_text"
"SNEX","2026-07-18",-0.28767384041985167,7,"The lack of news data suggests a stable short-term outlook, but positive momentum and research sentiment drive the 5-day outlook."
"PENG","2026-07-15",-0.2390745701699315,7,"Strong financial results and positive analyst sentiment are expected to drive short-term gains."
"SNDK","2026-07-13",-0.18234727613105828,7,"Analyst upgrades and positive sentiment are expected to drive short-term gains."
"GLW","2026-07-15",-0.1789597204235932,7,"The positive research sentiment and strong fundamentals suggest an upward trend, despite the lack of news catalysts."
"QBTS","2026-05-29",-0.1650629918668729,7,"The predicted direction is up due to the strong research consensus and favorable macro conditions."
"IONQ","2026-05-29",-0.15582628185102854,7,"The predicted direction is up, driven by the strong buy consensus and the company's increasing cash balance."
"VICR","2026-07-14",-0.15272295927541102,7,"The lack of news data suggests limited short-term catalysts, but positive research sentiment and strong fundamentals support an upward trend."
"MU","2026-06-29",-0.12430151818338986,7,"Strong analyst consensus and potential for short-term gains driven by positive sentiment and market conditions."
"DELL","2026-07-14",-0.11668928104938736,7,"The positive analyst sentiment and potential for short-term momentum suggest an upward trend over the next week."
"META","2026-06-04",-0.11402131291655038,7,"AI monetization evidence (ad click lift, Nvidia praise) and dividend announcement provide positive momentum; risk-on macro supports tech mega-caps."
"VICR","2026-07-19",-0.11290021804867767,7,"Positive sentiment from recent upgrades and strong fundamentals drive the 5-day outlook, despite limited news data."
"MSFT","2026-06-01",-0.11067436938107089,7,"Dell DoD deal and AI enthusiasm provide near-term momentum; FBI security warning is a minor headwind but stock has shown resilience."
"TDC","2026-07-15",-0.10598344734628129,7,"The short-term outlook is driven by potential momentum from recent analyst upgrades and stable macro conditions."
"AOSL","2026-07-13",-0.10385162536036918,7,"The lack of news data suggests limited short-term catalysts, but the stock's recent buy ratings and upside potential provide a positive outlook."
"NVDA","2026-06-03",-0.10052961322579912,9,"The Computex launch and strong analyst support create momentum that should push the stock higher over the next week."
"CMG","2026-07-13",-0.10033943294694658,7,"Positive analyst sentiment and stable macro conditions suggest a moderate upward trend over the next week."
"MSFT","2026-06-03",-0.09958988568165372,7,"Short‑term catalysts such as the Dell DoD software contract and continued AI hype are likely to lift the stock over the next week."
"ALGM","2026-07-13",-0.0984929256558702,5,"The 5-day outlook is dominated by the news weight (55%) where no data exists, capping the composite at 6.0. The single most important near-term catalyst is tomorrow's CPI release (July 14): a hot print above consensus could pressure growth/tech names including ALGM by 2-4%, while a cool print could catalyze a relief rally toward $53-54. Analyst momentum remains strongly supportive with no recent downgrades, and the stock trades ~11.9% below the mean analyst target. Wide return range reflects genuine two-way CPI event risk rather than directional conviction."
"MSFT","2026-06-04",-0.09153008239540583,8,"Dell DoD software contract and continued AI hype provide near-term momentum; FBI security warning already absorbed by market; risk-on flow supports mega-cap tech."
"ASTH","2026-07-17",-0.09109351160829193,7,"Strong analyst support and positive fundamentals drive the 5-day outlook, despite macroeconomic uncertainties."
"SITM","2026-07-13",-0.09030574586187923,7,"The lack of significant news flow suggests a moderate upward trend driven by existing positive sentiment and analyst upgrades."
"SNDK","2026-07-15",-0.09019690958253579,7,"News/momentum catalyst driving 5-day outlook"
"MSFT","2026-06-02",-0.08961453306700007,7,"Dell DoD deal and AI enthusiasm provide near-term momentum; FBI security warning already absorbed by market."
"COHR","2026-07-13",-0.0860766138974206,7,"The lack of recent news suggests limited short-term catalysts, but strong fundamentals and positive analyst sentiment support a moderate upward trend."
"MTSI","2026-07-13",-0.08337300010274828,7,"The short-term outlook is driven by positive momentum from recent analyst upgrades and strong fundamentals, despite the absence of immediate news catalysts."
